Results Table 1,,
,Specimen label,Specimen note 1
1,400,
,,
Time,Displacement,Force
(s),(mm),(N)
8.06,53.4105,883.4544
8.08,53.5438,883.6223
8.1,53.677,883.72
8.12,53.8103,883.8979
8.14,53.9436,884.0882
8.16,54.077,884.2518
8.18,54.2104,884.3994
8.2,54.3437,884.4963
8.22,54.477,884.5995
8.24,54.6104,884.6677
8.26,54.7438,884.8596
8.28,54.8771,884.9232
8.3,55.0104,885.1321
8.32,55.1437,885.1999
8.34,55.277,885.4026
8.36,55.4103,885.4964
8.38,55.5436,885.6157
8.4,55.677,885.7075
8.42,55.8104,885.7698
8.44,55.9438,885.9629
8.46,56.077,886.0767
8.48,56.2103,886.2897
8.5,56.3437,886.343
8.52,56.477,886.4841
8.54,56.6104,886.5639
8.56,56.7438,886.7209
8.58,56.8771,886.7924
8.6,57.0105,886.8937
8.62,57.1438,887.058
8.64,57.277,887.1741
8.66,57.4103,887.3971
8.68,57.5437,887.4662
8.7,57.6771,887.627
8.72,57.8105,887.8085
8.74,57.9438,888.0117
8.76,58.0771,888.1415
8.78,58.2104,888.3211
8.8,58.3437,888.4025
8.82,58.477,888.5511
8.84,58.6103,888.6771
8.86,58.7437,888.9233
8.88,58.8771,889.137
8.9,59.0104,889.1783
8.92,59.1438,889.3816
8.94,59.2771,889.4435
8.96,59.4105,889.6453
8.98,59.5437,889.7232
9,59.6769,889.8576
9.02,59.8102,889.9435
9.04,59.9436,890.0768
9.06,60.0771,890.2354
9.08,60.2104,890.3554
9.1,60.3438,890.4044
9.12,60.4771,890.5129
9.14,60.6104,890.7558
9.16,60.7436,890.8284
9.18,60.8768,890.9908
9.2,61.0102,891.0737
9.22,61.1437,891.2373
9.24,61.2771,891.3463
9.26,61.4104,891.4887
9.28,61.5437,891.6622
9.3,61.677,891.8463
9.32,61.8104,892.1254
9.34,61.9438,892.2319
9.36,62.0771,892.3679
9.38,62.2104,892.4953
9.4,62.3437,892.6486
9.42,62.477,892.6906
9.44,62.6103,892.863
9.46,62.7437,893.0045
9.48,62.8771,893.1779
9.5,63.0105,893.3376
9.52,63.1438,893.4591
9.54,63.2771,893.614
9.56,63.4103,893.7562
9.58,63.5437,894.0175
9.6,63.677,894.1342
9.62,63.8103,894.3022
9.64,63.9437,894.3812
9.66,64.0771,894.5555
9.68,64.2105,894.7272
9.7,64.3438,894.9089
9.72,64.477,895.033
9.74,64.6103,895.1494
9.76,64.7437,895.3627
9.78,64.8771,895.4262
9.8,65.0104,895.5812
9.82,65.1437,895.7056
9.84,65.277,895.9017
9.86,65.4104,895.9398
9.88,65.5437,896.1213
9.9,65.6769,896.257
9.92,65.8103,896.4288
9.94,65.9437,896.5351
9.96,66.077,896.6295
9.98,66.2103,896.817
10,66.3437,896.8715
10.02,66.4771,897.0964
10.04,66.6105,897.1721
10.06,66.7438,897.3289
10.08,66.877,897.4713
10.1,67.0103,897.6452
10.12,67.1437,897.7855
10.14,67.2771,897.936
10.16,67.4104,898.1506
10.18,67.5438,898.3427
10.2,67.6772,898.4945
10.22,67.8105,898.5346
10.24,67.9437,898.6844
10.26,68.0768,898.7849
10.28,68.2101,899.0793
10.3,68.3436,899.2708
10.32,68.4771,899.4452
10.34,68.6104,899.5297
10.36,68.7438,899.7356
10.38,68.8771,899.8895
10.4,69.0105,900.053
10.42,69.1437,900.1906
10.44,69.277,900.3074
10.46,69.4103,900.405
10.48,69.5437,900.5385
10.5,69.6771,900.7158
10.52,69.8104,900.8568
10.54,69.9437,901.0616
10.56,70.0771,901.1888
10.58,70.2104,901.3864
10.6,70.3437,901.5276
10.62,70.477,901.5815
10.64,70.6103,901.7344
10.66,70.7437,901.809
10.68,70.877,902.0125
10.7,71.0103,902.1266
10.72,71.1437,902.2956
10.74,71.277,902.3911
10.76,71.4104,902.6014
10.78,71.5437,902.7125
10.8,71.677,902.8632
10.82,71.8104,902.9722
10.84,71.9438,903.1425
10.86,72.0771,903.3738
10.88,72.2104,903.446
10.9,72.3437,903.6337
10.92,72.4771,903.7508
10.94,72.6104,903.878
10.96,72.7437,904.083
10.98,72.8771,904.2852
11,73.0104,904.437
11.02,73.1437,904.6061
11.04,73.277,904.7224
11.06,73.4103,904.8317
11.08,73.5437,904.97
11.1,73.6771,905.1098
11.12,73.8105,905.3602
11.14,73.9437,905.4512
11.16,74.077,905.7047
11.18,74.2103,905.8019
11.2,74.3437,905.9543
11.22,74.4771,906.061
11.24,74.6104,906.2575
11.26,74.7438,906.3329
